"Timestamp","Direction","Protocol","SrcIP","SrcPort","DstIP","DstPort","Action","Rule","Bytes","Packets","Computer","User","Note"
"2025-08-28T11:57:15","OUTBOUND","UDP","172.25.132.2","509","192.168.130.170","13674","ALLOW","Allow-Standard","177967","856","SRV-WEB1",,""
"2025-08-28T11:57:35","INBOUND","UDP","103.212.147.208","26378","10.57.38.105","8443","ALLOW","Allow-Standard","88264","907","SRV-DC1",,""
"2025-08-28T11:58:22","INBOUND","TCP","130.102.5.35","40909","192.168.101.97","43753","ALLOW","Allow-Standard","133829","1177","WIN10LAB",,""
"2025-08-28T11:58:23","INBOUND","TCP","192.168.125.76","60332","172.20.18.228","320","ALLOW","Allow-Standard","39495","610","SRV-REMOTE1",,""
"2025-08-28T12:00:18","OUTBOUND","TCP","10.42.18.201","218","115.199.10.88","43956","ALLOW","Allow-Standard","158327","931","SRV-FILE1",,""
"2025-08-28T12:01:14","OUTBOUND","UDP","192.168.208.98","25","10.186.143.214","516","ALLOW","Allow-Standard","166680","1118","SRV-WEB1",,""
"2025-08-28T12:01:34","INBOUND","TCP","65.71.122.140","46325","10.12.33.110","63501","BLOCK","Default-Deny","53700","1163","SRV-DC1",,"Potential noise or policy match"
"2025-08-28T12:05:04","INBOUND","TCP","10.217.89.130","61980","10.84.16.87","42835","ALLOW","Allow-Standard","5729","209","SRV-DC1",,""
"2025-08-28T12:06:44","INBOUND","TCP","4.79.214.109","30856","10.158.92.47","389","BLOCK","Default-Deny","68674","402","SRV-WEB1",,"Potential noise or policy match"
"2025-08-28T12:06:55","INBOUND","UDP","10.233.98.233","49731","192.168.14.190","8443","ALLOW","Allow-Standard","138776","577","WIN10LAB",,""
"2025-08-28T12:08:12","INBOUND","UDP","172.22.237.236","40415","172.24.118.15","450","BLOCK","Default-Deny","107935","1161","SRV-DC1",,"Potential noise or policy match"
"2025-08-28T12:11:06","INBOUND","TCP","172.28.85.243","17130","172.29.153.12","25","ALLOW","Allow-Standard","186174","646","SRV-SQL1",,""
"2025-08-28T12:11:51","INBOUND","TCP","118.58.230.144","49924","192.168.148.20","79","ALLOW","Allow-Standard","176963","186","SRV-FILE1","mgarcia",""
"2025-08-28T12:13:53","INBOUND","UDP","172.28.110.22","54585","192.168.3.138","53","ALLOW","Allow-Standard","31134","188","SRV-SIEM1",,""
"2025-08-28T12:16:05","OUTBOUND","TCP","10.234.76.86","259","192.168.133.199","518","ALLOW","Allow-Standard","80951","316","WIN10LAB",,""
"2025-08-28T12:17:40","OUTBOUND","TCP","192.168.117.105","38129","10.36.94.244","62245","ALLOW","Allow-Standard","198727","979","SRV-DC1",,""
