"Timestamp","Direction","Protocol","SrcIP","SrcPort","DstIP","DstPort","Action","Rule","Bytes","Packets","Computer","User","Note"
"2025-08-29T06:21:32","OUTBOUND","UDP","192.168.88.216","62943","192.168.46.11","1770","BLOCK","Default-Deny","173958","16","SRV-WEB1",,"Potential noise or policy match"
"2025-08-29T06:21:47","INBOUND","UDP","161.35.132.54","61048","10.106.106.199","38605","ALLOW","Allow-Standard","38455","466","SRV-DC1",,""
"2025-08-29T06:22:51","INBOUND","TCP","74.156.67.135","32565","192.168.90.93","42717","ALLOW","Allow-Standard","133484","490","WIN10LAB",,""
"2025-08-29T06:22:52","OUTBOUND","UDP","172.18.103.182","110","172.19.59.121","8227","BLOCK","Default-Deny","118576","245","SRV-DC1","tnguyen","Potential noise or policy match"
"2025-08-29T06:22:55","OUTBOUND","UDP","192.168.218.128","143","128.114.213.43","61594","ALLOW","Allow-Standard","110358","780","SRV-FILE1",,""
"2025-08-29T06:23:02","INBOUND","UDP","192.168.77.111","24483","172.19.154.158","8080","ALLOW","Allow-Standard","4928","617","SRV-FILE1",,""
"2025-08-29T06:23:22","OUTBOUND","UDP","172.31.36.138","49263","10.228.83.243","33588","BLOCK","Default-Deny","60355","903","SRV-WEB1",,"Potential noise or policy match"
"2025-08-29T06:23:33","OUTBOUND","TCP","192.168.106.70","65151","10.187.156.148","705","ALLOW","Allow-Standard","168175","290","SRV-REMOTE1",,""
"2025-08-29T06:23:42","OUTBOUND","TCP","10.50.94.235","27677","10.118.27.61","20913","ALLOW","Allow-Standard","72224","67","SRV-WEB1",,""
"2025-08-29T06:24:33","INBOUND","TCP","35.200.149.78","4217","10.38.252.202","58335","ALLOW","Allow-Standard","42255","172","SRV-FILE1",,""
"2025-08-29T06:25:17","OUTBOUND","TCP","192.168.49.95","8080","172.23.20.184","51826","ALLOW","Allow-Standard","116462","850","SRV-WEB1","hlee",""
"2025-08-29T06:25:30","OUTBOUND","UDP","10.93.152.130","9024","192.168.207.19","6814","ALLOW","Allow-Standard","44620","1073","SRV-DC1",,""
"2025-08-29T06:25:41","INBOUND","UDP","10.135.253.224","60290","10.79.53.126","80","ALLOW","Allow-Standard","114390","875","WIN10LAB",,""
"2025-08-29T06:26:30","INBOUND","UDP","60.105.57.81","61851","192.168.113.235","22048","ALLOW","Allow-Standard","39026","826","SRV-REMOTE1",,""
"2025-08-29T06:26:31","OUTBOUND","TCP","10.63.224.88","54228","192.168.214.142","21333","ALLOW","Allow-Standard","457","1171","SRV-WEB1",,""
"2025-08-29T06:26:50","OUTBOUND","TCP","192.168.90.33","587","172.23.235.106","35741","ALLOW","Allow-Standard","152512","1122","SRV-SIEM1","mgarcia",""
"2025-08-29T06:26:57","INBOUND","TCP","10.181.134.51","39717","10.66.83.82","5624","ALLOW","Allow-Standard","31411","1100","SRV-SIEM1",,""
"2025-08-29T06:27:16","INBOUND","UDP","192.168.152.36","65451","172.18.211.180","47306","BLOCK","Default-Deny","109614","46","WIN10LAB","achapman","Potential noise or policy match"
"2025-08-29T06:27:29","INBOUND","UDP","192.168.88.108","21654","172.30.3.83","59523","BLOCK","Default-Deny","151791","1054","SRV-FILE1",,"Potential noise or policy match"
